nom,nom_de_famille,fonction,date_naissance,twitter
Emmanuel Macron,Macron,Président de la République,1977-12-21,EmmanuelMacron
Édouard Philippe,Philippe,Premier ministre,1970-11-28,EPhilippePM
Gérard Collomb,Collomb,"Ministre d’État, Ministre de l’Intérieur",1947-06-20,gerardcollomb
Nicolas Hulot,Hulot,"Ministre d’État, Ministre de la Transition écologique et solidaire",1955-04-30,N_Hulot
François Bayrou,Bayrou,"Ministre d'État, Garde des Sceaux, Ministre de la Justice",1951-05-25,bayrou
Sylvie Goulard,Goulard,Ministre des Armées,1964-12-04,GoulardSylvie
Jean-Yves Le Drian,Le Drian,Ministre de l'Europe et des Affaires étrangères,1947-06-30,JY_LeDrian
Richard Ferrand,Ferrand,Ministre de la Cohésion des territoires,1962-07-01,RichardFerrand
Agnès Buzyn,Buzyn,Ministre des Solidarités et de la Santé,1962-11-01,(pas de twitter) 
Françoise Nyssen,Nyssen,Ministre de la Culture,1951-06-09,FrancoiseNyssen
Bruno Le Maire,Le Maire,Ministre de l'Économie,1969-04-15,BrunoLeMaire
Muriel Penicaud,Penicaud,Ministre du Travail,1955-03-31,murielpenicaud
Jean-Michel Blanquer,Blanquer,Ministre de l'Éducation nationale,1964-12-04,jmblanquer
Jacques Mézard,Mézard,Ministre de l'Agriculture et de l'Alimentation,1947-12-03,MezardJacques
Gérald Darmanin,Darmanin,Ministre de l'Action et des Comptes publics,1982-10-11,GDarmanin
Frédérique Vidal,Vidal,"Ministre de l'Enseignement supérieur, de la Recherche et de l'Innovation",1964-05-06,VidalFrederique
Annick Girardin,Girardin,Ministre des Outre mer,1964-08-03,AnnickGirardin
Laura Flessel,Flessel,Ministre des Sports,1971-11-06,FlesselLaura
Élisabeth Borne,Borne,"Ministre auprès du Ministre de la Transition écologique et solidaire, chargée des Transports",1961-04-18,Elisabeth_Borne
Marielle De Sarnez,De Sarnez,"Ministre auprès du Ministre de l'Europe et des Affaires étrangères, chargée des Affaires européennes",1951-03-27,desarnez
Christophe Castaner,Castaner,Secrétaire d'État chargé des Relations avec le Parlement. Porte-parole du Gouvernement,1966-01-03,CCastaner
Marlène Schiappa,Schiappa,Secrétaire d'État chargée de l'Égalité entre les femmes et les hommes,1982-11-18,MarleneSchiappa
Sophie Cluzel ,Cluzel ,Secrétaire d'État chargée des Personnes handicapées,1961-01-07,sophcluz
Mounir Mahjoubi ,Mahjoubi ,Secrétaire d'État chargé du Numérique ,1984-03-01,mounir
